"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"2","0.001329329","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"3","0.002211408","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"4","0.002652003","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"5","0.003981670","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"6","0.005280872","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"7","0.006603431","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"8","0.007256383","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"9","0.007929857","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"10","0.009293073","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"11","0.010614251","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"12","0.011945799","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"13","0.012781190","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"14","0.013274710","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"15","0.014599836","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"16","0.015926048","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"17","0.017255088","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"18","0.018580549","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"19","0.019908839","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"20","0.021235089","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"21","0.022567125","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"22","0.023517693","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"23","0.023898874","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"24","0.025216348","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"25","0.026538071","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"26","0.027872902","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"27","0.028177201","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"28","0.029200435","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"29","0.030524890","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"30","0.031855700","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"31","0.033179726","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"32","0.034054909","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"33","0.034471257","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"34","0.035800760","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"35","0.037159138","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"36","0.038458284","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"37","0.039784860","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"38","0.041113519","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"39","0.042439231","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"40","0.043801386","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"41","0.044788601","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"42","0.045124178","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"43","0.046453144","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"44","0.047785006","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"45","0.049109088","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"46","0.049471969","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"47","0.050432041","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"48","0.051761644","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"49","0.053083986","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"50","0.054418156","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"51","0.055396932","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"52","0.055743512","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"53","0.057068296","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"54","0.058364879","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"55","0.059762891","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"56","0.061089223","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"57","0.062413691","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"58","0.063740010","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"59","0.065066312","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"60","0.066132732","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"61","0.066392549","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"62","0.067797844","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"63","0.069134826","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"64","0.070380309","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"65","0.070761712","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"66","0.071707896","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"67","0.073036033","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"68","0.074356646","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"69","0.075684712","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"70","0.076641118","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"71","0.077008716","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"72","0.078336459","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"73","0.079630486","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
