"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"2","0.000537274","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"3","0.001846057","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"4","0.003173052","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"5","0.004530162","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"6","0.005838046","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"7","0.007163017","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"8","0.008505057","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"9","0.009803944","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"10","0.010676981","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"11","0.011123956","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"12","0.012487645","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"13","0.012980008","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"14","0.013816723","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"15","0.015113261","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"16","0.016428062","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"17","0.017763739","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"18","0.019095093","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"19","0.020447432","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"20","0.021257872","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"21","0.021783949","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"22","0.023091676","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"23","0.024425806","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"24","0.025752830","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"25","0.027089745","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"26","0.028400166","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"27","0.029734736","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"28","0.031062777","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"29","0.031957125","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"30","0.032388677","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"31","0.033718363","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"32","0.034241243","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"33","0.035019242","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"34","0.036342623","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"35","0.037704847","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"36","0.039031925","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"37","0.040362841","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"38","0.041680847","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"39","0.042541287","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"40","0.043006669","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"41","0.044339975","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"42","0.045662550","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"43","0.046987531","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"44","0.048323478","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"45","0.049644053","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"46","0.050975083","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"47","0.052295371","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"48","0.053218060","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"49","0.053622414","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"50","0.054963602","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"51","0.055489662","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"52","0.056293790","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"53","0.057614427","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"54","0.058935566","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"55","0.060258976","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"56","0.061590111","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"57","0.062913575","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"58","0.064241805","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"59","0.064278846","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"60","0.065563302","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"61","0.066894410","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"62","0.068222700","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"63","0.069549725","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"64","0.070880635","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"65","0.072167987","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
